date,category,amount
2024-06-22,Food,10.89
2024-06-22,Entertainment,52.07
2024-06-22,Bills,110.42
2024-06-23,Entertainment,9.23
2024-06-23,Food,15.64
2024-06-23,Transport,6.05
2024-06-23,Bills,136.69
2024-06-24,Entertainment,17.29
2024-06-25,Food,102.0
2024-06-25,Bills,111.68
2024-06-26,Bills,105.57
2024-06-26,Entertainment,41.16
2024-06-27,Shopping,35.23
2024-06-27,Entertainment,28.83
2024-06-28,Transport,8.5
2024-06-28,Bills,108.22
2024-06-29,Food,5.78
2024-06-29,Entertainment,3.4
2024-06-29,Food,10.55
2024-06-29,Bills,139.36
2024-06-30,Shopping,45.72
2024-06-30,Transport,8.77
2024-06-30,Bills,149.97
2024-06-30,Food,15.18
2024-07-01,Shopping,75.98
2024-07-02,Entertainment,17.15
2024-07-02,Bills,151.9
2024-07-02,Entertainment,10.2
2024-07-02,Entertainment,18.78
2024-07-03,Bills,90.56
2024-07-03,Food,17.31
2024-07-04,Shopping,58.32
2024-07-04,Shopping,52.39
2024-07-04,Transport,8.27
2024-07-05,Food,14.54
2024-07-06,Shopping,59.75
2024-07-07,Entertainment,47.93
2024-07-07,Transport,5.1
2024-07-08,Bills,136.58
2024-07-08,Bills,126.05
2024-07-08,Bills,136.66
2024-07-09,Food,13.92
2024-07-09,Entertainment,17.37
2024-07-09,Shopping,36.86
2024-07-09,Food,13.27
2024-07-10,Transport,7.86
2024-07-10,Food,10.08
2024-07-10,Shopping,862.02
2024-07-10,Entertainment,16.17
2024-07-11,Bills,123.16
2024-07-12,Entertainment,16.75
2024-07-12,Entertainment,11.51
2024-07-12,Entertainment,30.07
2024-07-13,Transport,8.88
2024-07-13,Entertainment,14.12
2024-07-14,Transport,5.84
2024-07-14,Food,15.97
2024-07-15,Bills,118.04
2024-07-15,Transport,9.62
2024-07-16,Transport,7.82
2024-07-17,Transport,6.62
2024-07-18,Food,8.32
2024-07-18,Transport,8.93
2024-07-19,Bills,129.35
2024-07-19,Entertainment,41.11
2024-07-19,Bills,133.48
2024-07-19,Entertainment,45.39
2024-07-20,Food,19.01
2024-07-20,Bills,133.35
2024-07-21,Shopping,83.37
2024-07-21,Bills,109.65
2024-07-21,Bills,104.19
2024-07-21,Transport,9.21
2024-07-22,Entertainment,19.51
2024-07-22,Transport,7.67
2024-07-22,Entertainment,277.92
2024-07-22,Shopping,37.77
2024-07-23,Bills,120.01
2024-07-23,Bills,96.05
2024-07-23,Shopping,0.5
2024-07-23,Shopping,114.38
2024-07-24,Food,20.39
2024-07-24,Entertainment,26.01
2024-07-24,Shopping,73.77
2024-07-24,Shopping,0.5
2024-07-25,Food,14.6
2024-07-25,Transport,7.13
2024-07-26,Food,14.96
2024-07-26,Entertainment,42.07
2024-07-27,Shopping,7.35
2024-07-27,Transport,4.13
2024-07-28,Transport,8.78
2024-07-28,Food,18.23
2024-07-28,Transport,6.77
2024-07-29,Shopping,62.97
2024-07-30,Entertainment,0.5
2024-07-30,Transport,10.91
2024-07-30,Bills,108.86
2024-07-31,Food,16.01
2024-07-31,Shopping,6.45
2024-07-31,Bills,136.47
2024-07-31,Shopping,41.28
2024-08-01,Food,13.75
2024-08-01,Food,20.03
2024-08-02,Food,23.73
2024-08-02,Entertainment,26.16
2024-08-03,Shopping,97.69
2024-08-04,Transport,5.88
2024-08-05,Transport,8.62
2024-08-05,Transport,9.03
2024-08-05,Shopping,50.2
2024-08-06,Entertainment,11.78
2024-08-06,Food,19.21
2024-08-06,Food,15.4
2024-08-07,Shopping,7.1
2024-08-08,Bills,120.85
2024-08-08,Food,17.96
2024-08-08,Food,11.93
2024-08-09,Transport,4.9
2024-08-09,Food,9.28
2024-08-10,Food,23.83
2024-08-10,Transport,7.96
2024-08-10,Entertainment,240.24
2024-08-11,Shopping,60.79
2024-08-11,Bills,107.92
2024-08-12,Entertainment,23.31
2024-08-13,Entertainment,45.2
2024-08-13,Shopping,14.36
2024-08-13,Food,12.0
2024-08-13,Transport,5.87
2024-08-14,Food,10.99
2024-08-14,Bills,143.66
2024-08-15,Bills,101.53
2024-08-15,Transport,3.88
2024-08-16,Transport,5.59
2024-08-17,Entertainment,56.02
2024-08-17,Transport,4.9
2024-08-17,Food,14.91
2024-08-17,Bills,92.57
2024-08-18,Food,14.48
2024-08-18,Bills,129.34
2024-08-18,Transport,9.45
2024-08-19,Entertainment,15.01
2024-08-19,Entertainment,16.0
2024-08-20,Bills,144.11
2024-08-21,Food,11.72
2024-08-21,Food,14.93
2024-08-21,Entertainment,24.05
2024-08-21,Entertainment,45.08
2024-08-22,Shopping,28.42
2024-08-22,Shopping,68.07
2024-08-23,Bills,107.81
2024-08-23,Shopping,105.34
2024-08-23,Transport,8.09
2024-08-24,Transport,5.06
2024-08-24,Transport,5.03
2024-08-25,Shopping,110.04
2024-08-26,Bills,107.51
2024-08-27,Entertainment,29.28
2024-08-27,Transport,8.98
2024-08-27,Bills,167.38
2024-08-28,Shopping,73.91
2024-08-29,Food,0.5
2024-08-29,Entertainment,23.79
2024-08-29,Entertainment,50.77
2024-08-29,Entertainment,40.76
2024-08-30,Bills,136.85
2024-08-30,Shopping,60.81
2024-08-31,Entertainment,17.06
2024-08-31,Entertainment,34.28
2024-09-01,Entertainment,28.24
2024-09-02,Entertainment,51.42
2024-09-02,Transport,8.39
2024-09-02,Bills,101.14
2024-09-02,Entertainment,20.22
2024-09-03,Bills,131.76
2024-09-04,Bills,91.4
2024-09-04,Shopping,50.43
2024-09-05,Food,13.68
2024-09-06,Food,14.84
2024-09-06,Shopping,81.37
2024-09-07,Food,11.28
2024-09-07,Food,7.0
2024-09-07,Bills,65.63
2024-09-07,Food,24.48
2024-09-08,Bills,130.97
2024-09-08,Shopping,91.24
2024-09-09,Food,14.37
2024-09-09,Bills,95.29
2024-09-09,Bills,111.18
2024-09-09,Entertainment,31.26
2024-09-10,Food,19.33
2024-09-10,Transport,6.28
2024-09-11,Entertainment,3.45
2024-09-11,Shopping,68.26
2024-09-12,Shopping,102.82
2024-09-12,Food,16.74
2024-09-12,Food,5.96
2024-09-13,Bills,132.26
2024-09-13,Food,11.34
2024-09-13,Transport,8.14
2024-09-14,Entertainment,24.19
2024-09-14,Entertainment,0.5
2024-09-14,Shopping,77.32
2024-09-14,Entertainment,33.42
2024-09-15,Food,19.76
2024-09-15,Bills,120.46
2024-09-16,Bills,118.12
2024-09-16,Entertainment,16.65
2024-09-16,Transport,9.91
2024-09-16,Bills,109.93
2024-09-17,Bills,124.74
2024-09-17,Food,20.9
2024-09-17,Transport,7.85
2024-09-17,Bills,123.08
2024-09-18,Food,6.54
2024-09-18,Bills,83.32
2024-09-18,Bills,90.09
2024-09-18,Shopping,21.2
2024-09-19,Transport,5.33
2024-09-20,Transport,5.69
2024-09-21,Food,12.77
2024-09-21,Food,15.63
2024-09-22,Transport,4.51
2024-09-22,Food,30.119999999999997
2024-09-23,Shopping,4.96
2024-09-23,Bills,104.06
2024-09-23,Transport,7.15
2024-09-24,Food,19.54
2024-09-25,Transport,8.29
2024-09-26,Transport,8.25
2024-09-26,Shopping,65.57
2024-09-26,Entertainment,41.16
2024-09-26,Entertainment,19.93
2024-09-27,Shopping,76.81
2024-09-28,Transport,5.56
2024-09-28,Entertainment,24.4
2024-09-28,Shopping,61.0
2024-09-29,Transport,7.7
2024-09-29,Food,11.4
2024-09-30,Shopping,89.43
2024-09-30,Bills,127.38
2024-09-30,Bills,89.6
2024-09-30,Entertainment,23.49
2024-10-01,Bills,104.99
2024-10-01,Entertainment,55.2
2024-10-01,Transport,10.54
2024-10-01,Bills,118.65
2024-10-02,Bills,105.29
2024-10-02,Food,18.27
2024-10-02,Bills,121.48
2024-10-03,Food,19.45
2024-10-03,Food,21.35
2024-10-03,Food,14.81
2024-10-04,Entertainment,41.9
2024-10-05,Entertainment,28.31
2024-10-05,Shopping,62.76
2024-10-06,Bills,143.02
2024-10-06,Transport,4.29
2024-10-06,Transport,6.94
2024-10-07,Entertainment,33.83
2024-10-08,Food,14.52
2024-10-08,Bills,133.1
2024-10-08,Transport,8.51
2024-10-08,Transport,8.46
2024-10-09,Food,15.8
2024-10-10,Food,157.84
2024-10-10,Shopping,19.07
2024-10-10,Transport,6.67
2024-10-11,Shopping,82.5
2024-10-11,Shopping,30.24
2024-10-12,Entertainment,7.58
2024-10-12,Food,11.53
2024-10-12,Shopping,66.15
2024-10-13,Food,11.41
2024-10-13,Entertainment,5.34
2024-10-13,Bills,177.18
2024-10-13,Bills,94.42
2024-10-14,Entertainment,14.34
2024-10-15,Shopping,66.59
2024-10-15,Shopping,0.5
2024-10-15,Entertainment,25.98
2024-10-16,Bills,121.83
2024-10-16,Food,15.89
2024-10-16,Entertainment,29.61
2024-10-17,Shopping,49.94
2024-10-17,Bills,144.05
2024-10-18,Food,20.43
2024-10-19,Food,18.47
2024-10-20,Food,17.99
2024-10-20,Transport,8.68
2024-10-21,Transport,5.31
2024-10-22,Food,8.67
2024-10-22,Food,11.53
2024-10-22,Shopping,72.89
2024-10-22,Transport,5.33
2024-10-23,Shopping,91.97
2024-10-23,Transport,6.1
2024-10-23,Food,6.88
2024-10-23,Transport,38.5
2024-10-24,Food,10.97
2024-10-24,Food,14.89
2024-10-24,Bills,120.24
2024-10-25,Transport,9.24
2024-10-25,Shopping,22.2
2024-10-26,Entertainment,37.49
2024-10-26,Transport,6.11
2024-10-27,Entertainment,60.4
2024-10-27,Bills,128.36
2024-10-28,Transport,3.81
2024-10-29,Bills,104.01
2024-10-29,Transport,10.29
2024-10-30,Bills,105.67
2024-10-30,Bills,123.65
2024-10-30,Transport,9.01
2024-10-31,Bills,123.12
2024-10-31,Entertainment,43.03
2024-11-01,Shopping,49.46
2024-11-01,Entertainment,29.4
2024-11-02,Shopping,0.5
2024-11-02,Bills,124.58
2024-11-02,Food,26.11
2024-11-03,Food,11.77
2024-11-04,Food,7.62
2024-11-05,Bills,153.19
2024-11-05,Shopping,47.99
2024-11-06,Transport,10.17
2024-11-07,Transport,10.42
2024-11-07,Food,18.57
2024-11-08,Food,23.16
2024-11-09,Bills,136.65
2024-11-09,Bills,111.76
2024-11-09,Transport,7.25
2024-11-09,Food,14.62
2024-11-10,Shopping,27.68
2024-11-10,Transport,6.61
2024-11-10,Shopping,57.21
2024-11-10,Bills,133.15
2024-11-11,Transport,7.37
2024-11-11,Transport,4.96
2024-11-12,Entertainment,50.12
2024-11-12,Entertainment,45.91
2024-11-13,Entertainment,24.74
2024-11-13,Bills,142.25
2024-11-14,Food,12.12
2024-11-15,Shopping,25.61
2024-11-16,Entertainment,38.87
2024-11-16,Shopping,5.45
2024-11-16,Shopping,90.55
2024-11-16,Food,18.38
2024-11-17,Food,12.17
2024-11-17,Bills,122.84
2024-11-17,Bills,122.36
2024-11-18,Shopping,43.53
2024-11-18,Bills,113.36
2024-11-18,Transport,7.5
2024-11-18,Transport,7.12
2024-11-19,Entertainment,23.18
2024-11-19,Food,14.55
2024-11-19,Entertainment,40.42
2024-11-19,Food,15.86
2024-11-20,Shopping,52.8
2024-11-20,Bills,121.62
2024-11-21,Shopping,76.31
2024-11-21,Entertainment,32.0
2024-11-22,Shopping,44.67
2024-11-22,Bills,152.55
2024-11-22,Transport,3.09
2024-11-23,Transport,5.59
2024-11-23,Bills,95.74
2024-11-23,Entertainment,23.76
2024-11-24,Food,20.03
2024-11-24,Bills,104.87
2024-11-25,Entertainment,27.29
2024-11-26,Shopping,61.75
2024-11-26,Shopping,51.33
2024-11-26,Entertainment,17.64
2024-11-27,Entertainment,17.36
2024-11-27,Entertainment,14.16
2024-11-27,Entertainment,0.5
2024-11-28,Food,17.99
2024-11-29,Entertainment,36.07
2024-11-29,Shopping,0.5
2024-11-29,Entertainment,18.65
2024-11-29,Bills,129.26
2024-11-30,Entertainment,3.73
2024-12-01,Entertainment,4.22
2024-12-01,Bills,85.07
2024-12-01,Entertainment,20.99
2024-12-02,Entertainment,0.65
2024-12-02,Bills,146.87
2024-12-02,Shopping,91.81
2024-12-02,Entertainment,65.7
2024-12-03,Bills,153.65
2024-12-04,Food,5.27
2024-12-05,Bills,106.32
2024-12-05,Entertainment,27.49
2024-12-05,Bills,118.62
2024-12-06,Food,17.65
2024-12-06,Food,18.91
2024-12-07,Transport,8.33
2024-12-07,Transport,5.3
2024-12-07,Entertainment,28.11
2024-12-07,Bills,114.11
2024-12-08,Shopping,112.31
2024-12-08,Food,14.42
2024-12-08,Shopping,43.34
2024-12-09,Food,19.01
2024-12-09,Entertainment,33.32
2024-12-09,Food,9.86
2024-12-10,Food,14.84
2024-12-10,Shopping,77.19
2024-12-11,Transport,2.1
2024-12-11,Entertainment,0.5
2024-12-11,Food,10.17
2024-12-12,Entertainment,29.07
2024-12-12,Entertainment,22.94
2024-12-12,Food,12.16
2024-12-13,Food,11.8
2024-12-13,Bills,133.72
2024-12-14,Bills,113.12
2024-12-15,Bills,112.8
2024-12-15,Shopping,0.5
2024-12-15,Entertainment,39.29
2024-12-16,Entertainment,21.95
2024-12-16,Shopping,11.14
2024-12-17,Transport,6.18
2024-12-17,Transport,8.92
2024-12-18,Transport,5.03
2024-12-18,Bills,144.43
2024-12-18,Transport,5.65
2024-12-18,Entertainment,14.07
2024-12-19,Entertainment,21.05
2024-12-20,Transport,7.73
2024-12-20,Bills,90.52
2024-12-20,Food,12.86
2024-12-20,Bills,148.8
2024-12-21,Bills,124.62
2024-12-22,Entertainment,21.42
2024-12-22,Transport,9.5
2024-12-22,Transport,5.95
2024-12-23,Shopping,77.75
2024-12-24,Bills,125.02
2024-12-24,Food,17.92
2024-12-25,Bills,113.06
2024-12-26,Entertainment,41.3
2024-12-27,Bills,139.44
2024-12-27,Shopping,47.56
2024-12-27,Transport,8.37
2024-12-27,Bills,135.55
2024-12-28,Transport,5.2
2024-12-28,Food,13.97
2024-12-28,Bills,117.03
2024-12-28,Transport,7.47
2024-12-29,Shopping,106.16
2024-12-29,Food,19.69
2024-12-30,Shopping,57.38
2024-12-30,Bills,136.01
2024-12-30,Entertainment,21.64
